--------------------------------------------------------------------------------------
| Zeit                | Feuchtigkeitsgrad | Temperatur | Licht | Befeuchter | Ventil |
--------------------------------------------------------------------------------------
|                     |                   |            |       |            |        |
| 2022-11-22 21:41:51 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:42:51 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:43:52 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:44:35 |       58.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:44:48 |       77.0%       |   18.0°C   |  aus  |    aus     |   an   |
| 2022-11-22 21:45:01 |       71.0%       |   18.0°C   |  aus  |    aus     |   an   |
| 2022-11-22 21:45:17 |       65.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:45:27 |       64.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:45:38 |       60.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:45:48 |       59.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:45:59 |       58.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:46:09 |       57.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:46:22 |       57.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:46:33 |       57.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:46:43 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:46:54 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:47:04 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:47:18 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:47:28 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:47:41 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:47:52 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:48:02 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:48:13 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:48:23 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:48:34 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:48:49 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:49:00 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:49:10 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |
| 2022-11-22 21:49:21 |       56.0%       |   18.0°C   |  aus  |     an     |  aus   |

| 2022-11-22 22:12:20 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:13:25 |       156.0%       |   09.0°C   |   an  |    aus     |   an   |
| 2022-11-22 22:13:45 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:13:57 |       156.0%       |   09.0°C   |   an  |    aus     |   an   |
| 2022-11-22 22:14:17 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:14:37 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:14:57 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:15:17 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:15:37 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:15:57 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:16:17 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:16:37 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:16:58 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:17:18 |       156.0%       |   09.0°C   |   an  |    aus     |   an   |
| 2022-11-22 22:17:38 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:17:58 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:18:18 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:18:38 |       55.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:18:58 |       55.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:19:18 |       55.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:19:40 |       54.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:20:00 |       54.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:20:14 |       54.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:20:34 |       55.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:20:54 |       55.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:21:14 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:21:34 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
| 2022-11-22 22:21:54 |       56.0%       |   18.0°C   |   an  |     an     |  aus   |
