
| 2022-11-23 12:55:11 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:55:20 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:55:43 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:57:56 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:59:07 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:59:17 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 12:59:28 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:07:14 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:07:25 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:08:07 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:10:07 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:10:18 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:10:29 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:10:39 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:10:50 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:12:11 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:12:21 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:12:32 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:14:23 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:14:34 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:14:44 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:14:55 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:17:44 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:17:55 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:21:33 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
| 2022-11-23 13:21:44 |       58.0%       |   17.0°C   |   an  |     an     |   an   |
